parameter	mean (DENV-2)	sd (DENV-2)	hdi_3% (DENV-2)	hdi_97% (DENV-2)	r_hat (DENV-2)	mean (YFV)	sd (YFV)	hdi_3% (YFV)	hdi_97% (YFV)	r_hat (YFV)	mean (WNV)	sd (WNV)	hdi_3% (WNV)	hdi_97% (WNV)	r_hat (WNV)	mean (MeV)	sd (MeV)	hdi_3% (MeV)	hdi_97% (MeV)	r_hat (MeV)	mean (MuV)	sd (MuV)	hdi_3% (MuV)	hdi_97% (MuV)	r_hat (MuV)	mean (PIV-1)	sd (PIV-1)	hdi_3% (PIV-1)	hdi_97% (PIV-1)	r_hat (PIV-1)	mean (PIV-2)	sd (PIV-2)	hdi_3% (PIV-2)	hdi_97% (PIV-2)	r_hat (PIV-2)	mean (CHIKV)	sd (CHIKV)	hdi_3% (CHIKV)	hdi_97% (CHIKV)	r_hat (CHIKV)	mean (VEEV)	sd (VEEV)	hdi_3% (VEEV)	hdi_97% (VEEV)	r_hat (VEEV)	mean (hCoV-229E)	sd (hCoV-229E)	hdi_3% (hCoV-229E)	hdi_97% (hCoV-229E)	r_hat (hCoV-229E)	mean (SARS-CoV)	sd (SARS-CoV)	hdi_3% (SARS-CoV)	hdi_97% (SARS-CoV)	r_hat (SARS-CoV)	mean (RVFV)	sd (RVFV)	hdi_3% (RVFV)	hdi_97% (RVFV)	r_hat (RVFV)	mean (RSV)	sd (RSV)	hdi_3% (RSV)	hdi_97% (RSV)	r_hat (RSV)
Intercept	-3.35	0.83	-4.94	-1.83	1.00	-3.27	0.81	-4.77	-1.72	1.00	-3.63	0.87	-5.20	-1.96	1.00	-2.34	0.92	-4.09	-0.68	1.00	-1.26	0.74	-2.64	0.12	1.00	-1.75	0.98	-3.60	-0.02	1.05	-2.11	0.80	-3.63	-0.61	1.00	-2.15	0.85	-3.77	-0.57	1.00	-2.54	0.84	-4.14	-0.98	1.00	-1.64	0.98	-3.45	0.17	1.00	-2.19	0.71	-3.48	-0.80	1.00	-2.79	0.81	-4.29	-1.25	1.00	-2.17	1.07	-4.34	-0.35	1.12
Migratory	0.15	0.38	-0.57	0.87	1.00	0.12	0.38	-0.60	0.84	1.00	0.09	0.43	-0.72	0.88	1.00	0.02	0.40	-0.73	0.76	1.00	0.29	0.37	-0.40	1.00	1.00	0.31	0.41	-0.46	1.08	1.00	0.35	0.39	-0.39	1.10	1.00	-0.27	0.44	-1.08	0.58	1.00	0.12	0.46	-0.71	1.00	1.00	-0.30	0.37	-0.99	0.39	1.00	0.51	0.37	-0.20	1.20	1.00	-0.18	0.41	-0.95	0.59	1.00	0.25	0.44	-0.57	1.08	1.01
Insectivorous	-0.45	0.49	-1.37	0.45	1.00	-0.40	0.47	-1.31	0.47	1.00	-0.62	0.50	-1.57	0.31	1.00	0.07	0.45	-0.75	0.92	1.00	-0.44	0.48	-1.33	0.49	1.00	-0.19	0.43	-1.00	0.63	1.00	-0.62	0.50	-1.53	0.33	1.00	-0.29	0.44	-1.13	0.54	1.00	-0.29	0.45	-1.13	0.57	1.00	0.26	0.47	-0.60	1.14	1.00	0.23	0.40	-0.50	0.99	1.00	-0.35	0.44	-1.16	0.48	1.00	-0.16	0.46	-1.03	0.70	1.00
Cave-dwelling	0.28	0.35	-0.36	0.93	1.00	-0.11	0.33	-0.73	0.51	1.00	0.18	0.36	-0.49	0.87	1.00	0.11	0.37	-0.57	0.82	1.00	0.30	0.35	-0.36	0.97	1.00	-0.18	0.39	-0.88	0.58	1.04	0.75	0.38	0.03	1.45	1.00	-0.73	0.40	-1.48	0.01	1.00	-0.49	0.42	-1.27	0.31	1.00	-0.23	0.43	-1.03	0.57	1.00	-0.25	0.35	-0.89	0.42	1.00	-0.20	0.38	-0.93	0.50	1.00	0.16	0.42	-0.61	0.97	1.09
Log colony size (5 log units)	1.66	0.30	1.12	2.26	1.00	1.64	0.30	1.09	2.20	1.00	1.73	0.32	1.10	2.32	1.00	-0.30	0.31	-0.88	0.28	1.00	0.74	0.34	0.10	1.38	1.00	0.02	0.27	-0.52	0.51	1.00	1.37	0.29	0.84	1.92	1.00	-0.67	0.33	-1.29	-0.07	1.00	-1.63	0.45	-2.49	-0.80	1.00	-0.58	0.41	-1.32	0.23	1.00	-0.45	0.28	-1.00	0.06	1.00	-0.07	0.33	-0.67	0.55	1.00	-0.23	0.31	-0.81	0.35	1.00
Adult	0.43	0.19	0.06	0.77	1.00	0.36	0.19	0.02	0.73	1.00	0.31	0.21	-0.08	0.70	1.00	0.44	0.28	-0.07	0.96	1.00	0.32	0.17	-0.00	0.64	1.00	0.56	0.20	0.19	0.93	1.00	0.41	0.19	0.04	0.75	1.00	0.49	0.30	-0.08	1.03	1.00	0.51	0.33	-0.10	1.13	1.00	-0.25	0.26	-0.75	0.22	1.00	0.08	0.25	-0.36	0.57	1.00	0.18	0.28	-0.33	0.71	1.00	0.31	0.24	-0.12	0.76	1.00
Lifespan (5 years)	-0.25	0.21	-0.63	0.17	1.00	-0.16	0.19	-0.54	0.19	1.00	-0.39	0.22	-0.78	0.06	1.00	-0.08	0.30	-0.59	0.45	1.00	-0.50	0.13	-0.74	-0.26	1.00	-0.11	0.41	-0.66	0.59	1.07	-0.39	0.20	-0.79	-0.03	1.00	-0.12	0.33	-0.63	0.49	1.00	-0.11	0.29	-0.59	0.44	1.00	-0.04	0.42	-0.71	0.59	1.00	-0.07	0.21	-0.46	0.34	1.00	-0.11	0.24	-0.53	0.34	1.00	-0.31	0.41	-0.80	0.53	1.15
Male	0.17	0.16	-0.14	0.48	1.00	0.13	0.16	-0.17	0.45	1.00	0.17	0.19	-0.18	0.52	1.00	0.35	0.22	-0.08	0.77	1.00	-0.04	0.14	-0.31	0.23	1.00	0.10	0.16	-0.19	0.40	1.00	-0.00	0.16	-0.29	0.30	1.00	0.35	0.24	-0.09	0.79	1.00	0.52	0.26	0.01	1.00	1.00	0.04	0.23	-0.40	0.47	1.00	-0.03	0.21	-0.41	0.36	1.00	0.10	0.24	-0.34	0.55	1.00	0.16	0.19	-0.19	0.52	1.00
Emballonuridae	-0.19	0.83	-1.83	1.35	1.00	-0.90	0.97	-2.77	0.80	1.00	-0.95	1.21	-3.33	1.09	1.00	-0.38	0.82	-2.04	1.05	1.00	-0.12	0.75	-1.58	1.29	1.00	-0.11	0.70	-1.43	1.29	1.00	-0.61	0.88	-2.37	0.94	1.00	-0.15	0.72	-1.65	1.17	1.00	-0.10	0.74	-1.64	1.32	1.00	0.01	0.75	-1.52	1.41	1.00	-0.04	0.44	-0.94	0.83	1.00	-0.28	0.80	-1.99	0.99	1.00	0.29	0.82	-1.22	1.91	1.01
Hipposideridae	-0.72	0.66	-1.98	0.45	1.00	-0.76	0.65	-2.05	0.41	1.00	-1.02	0.78	-2.54	0.35	1.00	-0.87	0.62	-2.06	0.26	1.00	-1.10	0.61	-2.23	0.04	1.00	-1.14	0.64	-2.28	0.09	1.01	-1.20	0.67	-2.43	0.04	1.00	-0.10	0.53	-1.16	0.95	1.00	-0.29	0.64	-1.66	0.81	1.00	0.87	0.63	-0.16	2.07	1.00	0.16	0.35	-0.42	0.91	1.00	0.01	0.51	-0.98	1.03	1.00	-1.24	0.75	-2.60	0.13	1.02
